FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-05;MUNICIPALIDAD DE LA CIUDAD DE CORDOBA;13088032-ENT;91,01;108;81;152,8;1,89
2026-06-05;TELETEL CHILE;413460-ENT;41,18;91;7;11,85;1,69
2026-06-05;SEGUROS BERNARDINO RIVADAVIA COOP LTDA;BERNA-PRE8-ENT;71,95;90;59;161,5;2,74
2026-06-05;VOCALSAT ARGENTINA S.A.;1768091-ENT;97,53;87;79;48,55;0,61
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;2545022-DIDWW2-ENT;100;80;53;27,3;0,52
2026-06-05;GESTIVA S.A;13097812-PX8-ENT;31,43;75;11;3,13;0,28
2026-06-05;AZCOM SRL;1762321-ENT;74,29;62;26;10,98;0,42
2026-06-05;P C C P S A;656395-ENT;75;56;36;80,13;2,23
2026-06-05;VOCALSAT ARGENTINA S.A.;1768821-ENT;91,67;48;44;101,85;2,31
2026-06-05;DIRECT CONTACT SOLUTIONS SA;2733686-ENT;83,33;47;15;7,88;0,53
2026-06-05;R P B SOCIEDAD ANONIMA;13095588-ENT;87,18;45;34;25,63;0,75
2026-06-05;INCEPTIA SRL;13092380-ENT;100;38;37;60,97;1,65
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;13097088_INTERMAX-EN;90,91;36;30;57,03;1,9
2026-06-05;GLOBAL PROCESSING SA;1636352-ENT;100;34;34;11,88;0,35
2026-06-05;IFX NETWORKS SA;483821-ENT;100;31;29;15,57;0,54
2026-06-05;MARTINEZ MAXIMILIANO ALBERTO;2339641-ENT;42,11;31;8;9,73;1,22
2026-06-05;ETERNET S.R.L.;1419563-ENT;88,24;26;15;16,3;1,09
2026-06-05;CITYTECH SA;1935463-ENT;100;26;11;8,27;0,75
2026-06-05;BERGAGNA CARLOS SEBASTIAN;13094894-PX8-ENT;63,64;26;7;9,55;1,36
2026-06-05;MARKETING ONE ARGENTINA SA;1607559-ENT;71,43;26;15;35,8;2,39
2026-06-05;CISTECH S.R.L.;1957252-ENT;83,33;25;20;53,38;2,67
2026-06-05;COOPERATIVA ELECTRICA DE CHACABUCO LIMITADA;683465-ENT;84,62;25;11;15,68;1,43
2026-06-05;COOPERATIVA ELECTRICA Y SERV MARIANO MORENO LTDA;510481-ENT;12,5;24;3;19,55;6,52
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;BTS-2271224-ENT;100;20;2;0,32;0,16
2026-06-05;ALLIANZ ARGENTINA COMPA?IA DE SEGUROS SOCIEDAD ANO;13091364-ENT;100;20;18;61,1;3,39
2026-06-05;COOPERATIVA DE ELECTRICIDAD, SERVICIOS Y OBRAS PUBLICAS DE SAN BERNARDO LTDA;393337-ENT;84,21;19;16;24,23;1,51
2026-06-05;SOLUCIONES REGIONALES DE INFORMATICA SA;Soluciones-ENT;100;19;7;28,32;4,05
2026-06-05;MULTICONEX SA;13089438-ENT;100;19;11;11,13;1,01
