FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-07;NSS S.A.;1792949-SERV-ASI-SAL;100;5;1;0,45;0,45
2026-06-07;CANELLADA EDUARDO MARCELO;747603-SAL;100;5;5;2,87;0,57
2026-06-07;NSS S.A.;245969-MERZCARGO-SAL;0;4;0;0;0
2026-06-07;C2 S.A.;C2-DID-SAL;100;4;3;0,3;0,1
2026-06-07;NSS S.A.;136953-SWISS-SAL;0;4;0;0;0
2026-06-07;ARSAT SA;1547639-SAL;0;4;0;0;0
2026-06-07;AGINET S.A.;394891-SAL;0;4;0;0;0
2026-06-07;CEIBO CREDITOS S.A.;CEIBO-SAL;0;4;0;0;0
2026-06-07;TELESERVICIOS Y MARKETING SRL;2541566-SAL;0;4;0;0;0
2026-06-07;FANDI?O MARIA VALERIA;FANDINO-MARI-SAL;100;4;4;2,28;0,57
2026-06-07;BT LATAM ARGENTINA S.A. a borrar;BTLATAM-SIP-SAL;0;4;0;0;0
2026-06-07;NSS S.A.;245717-YMKSA-SAL;100;4;1;0,67;0,67
2026-06-07;CALL UP SA;2800288-Px8-SAL;100;4;4;0,47;0,12
2026-06-07;NSS S.A.;126627-CANGALLO-SAL;100;3;3;0,87;0,29
2026-06-07;DIRECTV ARGENTINA SOCIEDAD ANONIMA;1735295-SAL;0;3;0;0;0
2026-06-07;ANALOGIAS SRL;13091636-PX8-SAL;0;3;0;0;0
2026-06-07;MARKETING ONE ARGENTINA SA;MARKETING-DID-SAL;0;3;0;0;0
2026-06-07;IPNEXT S.A.;2368458-SAL;100;3;3;0,8;0,27
2026-06-07;BROADBANDTECH S.A.;BBT-LO-SAL;0;3;0;0;0
2026-06-07;NSS S.A.;23168-AMERICA-SAL;100;3;3;3,28;1,09
2026-06-07;NSS S.A.;184145-ELSURCO-SAL;100;3;3;0,6;0,2
2026-06-07;NSS S.A.;346627-SWISS-SAL;0;3;0;0;0
2026-06-07;NSS S.A.;750372-ACES-SAL;100;3;2;0,53;0,27
2026-06-07;COMUNICACIONES MULTIMEDIA S.A;709319-SAL;100;3;3;0,73;0,24
2026-06-07;NSS S.A.;558156-DEFGRAL-SAL;0;3;0;0;0
2026-06-07;NSS S.A.;1937106-BANCREDI-SAL;0;3;0;0;0
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13097088_INTERMAX-SA;100;3;3;1,15;0,38
2026-06-07;GEORED S.A.;484145-SAL;100;3;3;2,97;0,99
2026-06-07;DIDXL SP Z.O.O.;1760121-SAL;100;3;3;1,45;0,48
2026-06-07;ALAU TECNOLOGIA S.A.U;ALAU-SAL;0;3;0;0;0
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;2271224-BTS-SAL;0;2;0;0;0
2026-06-07;NSS S.A.;598352-PANATEL-SAL;0;2;0;0;0
2026-06-07;NSS S.A.;245716-YMKSA-SAL;0;2;0;0;0
2026-06-07;FIBERMAX SA;1553295-SAL;100;2;2;1;0,5
2026-06-07;NSS S.A.;92506-LELOIR-SAL;100;2;2;2,2;1,1
2026-06-07;ITION SRL;639013-SAL;100;2;2;2,42;1,21
2026-06-07;NSS S.A.;82991-TarNaran-SAL;0;2;0;0;0
2026-06-07;GRUPO P Y D S A;PYD-DID-SAL;100;2;2;0,03;0,02
2026-06-07;IPBTEL LLC;IPBTEL-DID-SAL;100;2;2;2,05;1,03
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;DIDLOGIC-SAL;100;2;2;0,13;0,07
2026-06-07;AGINET S.A.;212283-SAL;100;2;2;17,78;8,89
2026-06-07;DIRECT CONTACT SOLUTIONS SA;2733686-SAL;100;2;2;0,03;0,02
2026-06-07;GREEN CONSULT SRL;GREEN-DID-SAL;0;2;0;0;0
2026-06-07;NSS S.A.;272348-G.M.S.-SAL;100;2;1;0,42;0,42
2026-06-07;ESTUDIO HFA Y ASOCIADOS SC;1681631-SAL;100;2;1;0,12;0,12
2026-06-07;IDT CORPORATION DE ARGENTINA S.A.;13091348-SAL;0;2;0;0;0
2026-06-07;RODOLFO CASSINI S.A.;13087785-SAL;100;2;2;0,85;0,43
2026-06-07;DIAL DATABASE MARKETING S.A;1636056-SAL;100;2;2;0,17;0,08
2026-06-07;TARJETA NARANJA SA;13094948-SAL;0;2;0;0;0
2026-06-07;MUSURIT SA;389337-DID;100;2;2;2,83;1,42
2026-06-07;NSS S.A.;1608647-COLOPLAS-SAL;100;2;2;0,93;0,47
2026-06-07;NSS S.A.;460137-SOCIEDAD-SAL;100;2;1;0,1;0,1
2026-06-07;NSS S.A.;110540-CONCEPTO-SAL;0;2;0;0;0
2026-06-07;NSS S.A.;266245-GRUPO8-SAL;100;2;2;1,57;0,78
2026-06-07;ATX;ATX-IVR-SAL-750891;0;1;0;0;0
2026-06-07;AGINET S.A.;657321-SAL;100;1;1;0,57;0,57
2026-06-07;MERA SOLUTIONS SA;FQDN-MERA-SAL;0;1;0;0;0
2026-06-07;NALDO LOMBARDI SA;13101945-PX8_SAL;100;1;1;0,1;0,1
2026-06-07;NSS S.A.;205989-LIDERAR-SAL;100;1;1;0,35;0,35
2026-06-07;NSS S.A.;216500-TITO-CAD-SAL;100;1;1;0,13;0,13
2026-06-07;NSS S.A.;1576379-CRIBA-SAL;100;1;1;0,08;0,08
2026-06-07;Latinatel;392929-SAL;0;1;0;0;0
2026-06-07;NSS S.A.;106297-SCIS-SAL;100;1;1;14,13;14,13
2026-06-07;CENATTEL SA;CENATTEL-DID-SAL;100;1;1;0,17;0,17
2026-06-07;BICENTEL, LLC;BICENTEL-800-SAL;0;1;0;0;0
2026-06-07;MARISA CLAUDIA BERETTA;1402961-SAL;100;1;1;0,03;0,03
2026-06-07;NSS S.A.;234091-TRANSPUNI-SAL;0;1;0;0;0
2026-06-07;TELECOM ITALIA SPARKLE S.P.A.;653085-SAL;100;1;1;0,18;0,18
2026-06-07;NEOTEL SRL;673033-SAL;100;1;1;1,28;1,28
2026-06-07;NSS S.A.;1583959-CAECE-SAL;0;1;0;0;0
2026-06-07;NSS S.A.;126434-KUARZO-SAL;0;1;0;0;0
2026-06-07;CITYTECH SA;1935463-SAL;100;1;1;7,82;7,82
2026-06-07;NSS S.A.;SHELL-1654014-SAL;0;1;0;0;0
2026-06-07;NSS S.A.;665825-DG-UNIDAD-SAL;100;1;1;0,22;0,22
2026-06-07;NSS S.A.;1937107-BANCREDI-SAL;0;1;0;0;0
2026-06-07;P C C P S A;PCCP-DID;0;1;0;0;0
2026-06-07;MU?OZ AGUIRRE & ASOCIADOS S.R.L.;13096882-SAL;100;1;1;0,02;0,02
2026-06-07;PRAGA GGB S.R.L.;PRAGA-DID-SAL;0;1;0;0;0
2026-06-07;VOISSNET SA;583129-SAL;0;1;0;0;0
2026-06-07;CONTACTO GARANTIDO SA;653975-SAL;100;1;1;0,65;0,65
2026-06-07;LOJDA GUILLERMO DARIO;486731-SAL;100;1;1;0,22;0,22
2026-06-07;BM SOLUCIONES S.R.L;BMSOLUCIONES-DID-SAL;100;1;1;2,85;2,85
2026-06-07;CYBERWAVE S.A.;CYBERW-SAL;100;1;1;1,05;1,05
2026-06-07;NSS S.A.;189795-AXOFT-SAL;100;1;1;1,52;1,52
2026-06-07;COACTIVA GROUP.;1938311-SAL;0;1;0;0;0
2026-06-07;RECUPERO INTEGRAL SRL;1488907-SAL;100;1;1;0,35;0,35
2026-06-07;BROADBANDTECH S.A.;BBT-LD-SAL;0;1;0;0;0
2026-06-07;TOUCHED BPO;TOUCHED-DID-SAL;100;1;1;0,27;0,27
2026-06-07;GESTION LEGAL S.A.;GESTIONLEGAL-DID;0;1;0;0;0
2026-06-06;TELEFONICA DE ARGENTINA S.A.;TASA-AMBA-SIP-SAL;90,08;1430573;628793;130405,27;0,21
2026-06-06;TELECOM ARGENTINA S.A.;TECO-AMBA-SIP-SAL;92,75;720007;340980;96013,87;0,28
2026-06-06;AMX ARGENTINA S.A.;CLARO-SIP-LD-SAL;89,36;122996;67647;16666,52;0,25
2026-06-06;NSS S.A.;RutaAnuncios;0;111787;0;0;0
